2017-12-05T10:52:41.915+0000 I CONTROL  [main] ***** SERVER RESTARTED *****
2017-12-05T10:52:41.945+0000 I CONTROL  [initandlisten] MongoDB starting : pid=38 port=27018 dbpath=/data/27018/data 64-bit host=66d397fb1148
2017-12-05T10:52:41.946+0000 I CONTROL  [initandlisten] db version v3.4.10
2017-12-05T10:52:41.946+0000 I CONTROL  [initandlisten] git version: 078f28920cb24de0dd479b5ea6c66c644f6326e9
2017-12-05T10:52:41.946+0000 I CONTROL  [initandlisten] OpenSSL version: OpenSSL 1.0.1e-fips 11 Feb 2013
2017-12-05T10:52:41.946+0000 I CONTROL  [initandlisten] allocator: tcmalloc
2017-12-05T10:52:41.947+0000 I CONTROL  [initandlisten] modules: none
2017-12-05T10:52:41.947+0000 I CONTROL  [initandlisten] build environment:
2017-12-05T10:52:41.947+0000 I CONTROL  [initandlisten]     distmod: rhel70
2017-12-05T10:52:41.947+0000 I CONTROL  [initandlisten]     distarch: x86_64
2017-12-05T10:52:41.948+0000 I CONTROL  [initandlisten]     target_arch: x86_64
2017-12-05T10:52:41.948+0000 I CONTROL  [initandlisten] options: { config: "/conf/27018.conf", net: { http: { RESTInterfaceEnabled: true, enabled: true }, maxIncomingConnections: 300, port: 27018 }, processManagement: { fork: true, pidFilePath: "/data/27018/logs/mongod.pid" }, replication: { replSet: "rs" }, storage: { dbPath: "/data/27018/data" }, systemLog: { destination: "file", logAppend: true, path: "/data/27018/logs/mongod.log" } }
2017-12-05T10:52:41.952+0000 I STORAGE  [initandlisten] wiredtiger_open config: create,cache_size=487M,session_max=20000,eviction=(threads_min=4,threads_max=4),config_base=false,statistics=(fast),log=(enabled=true,archive=true,path=journal,compressor=snappy),file_manager=(close_idle_time=100000),checkpoint=(wait=60,log_size=2GB),statistics_log=(wait=0),
2017-12-05T11:01:28.684+0000 I CONTROL  [main] ***** SERVER RESTARTED *****
2017-12-05T11:01:28.711+0000 I CONTROL  [initandlisten] MongoDB starting : pid=40 port=27018 dbpath=/data/27018/data 64-bit host=c526be9fe055
2017-12-05T11:01:28.711+0000 I CONTROL  [initandlisten] db version v3.4.10
2017-12-05T11:01:28.712+0000 I CONTROL  [initandlisten] git version: 078f28920cb24de0dd479b5ea6c66c644f6326e9
2017-12-05T11:01:28.712+0000 I CONTROL  [initandlisten] OpenSSL version: OpenSSL 1.0.1e-fips 11 Feb 2013
2017-12-05T11:01:28.712+0000 I CONTROL  [initandlisten] allocator: tcmalloc
2017-12-05T11:01:28.712+0000 I CONTROL  [initandlisten] modules: none
2017-12-05T11:01:28.713+0000 I CONTROL  [initandlisten] build environment:
